Pebble Details,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.7125857,32.24157326,75.97599977,33.95673525,4.16E-06,1.86E-06,1471,4.42E-12,-0.29257797,2020.698102,27.20337598
-104.71259,32.24156718,46.89536797,20.2882325,2.57E-06,1.11E-06,440,1.32E-12,-1.206575365,745.2006799,40.95550207
-104.7126108,32.24155222,73.73654642,28.71534418,4.04E-06,1.57E-06,1321,3.97E-12,-0.710047644,1658.425245,20.34612331
-104.7126019,32.24155096,76.10508533,55.55808709,4.17E-06,3.04E-06,2423,7.27E-12,-2.658652942,3311.769047,26.8366856
-104.7126114,32.24154959,86.73310389,55.7831387,4.75E-06,3.06E-06,2858,8.58E-12,-2.653799342,3789.543674,24.58194849
-104.7126163,32.24154899,76.00025504,62.36890159,4.16E-06,3.42E-06,3319,9.97E-12,-2.698441831,3712.63476,10.60257164
-104.7125757,32.24162915,28.82227261,21.21361126,1.58E-06,1.16E-06,355,1.07E-12,-1.999671691,478.8967713,25.87128975
-104.7126229,32.24161304,109.2087982,73.82699411,5.98E-06,4.05E-06,4353,1.31E-11,-1.694453129,6314.978781,31.068652
-104.712618,32.24157869,40.12789879,21.04365394,2.20E-06,1.15E-06,388,1.16E-12,-3.109841534,661.4037487,41.33689131
-104.7125856,32.24157639,43.74164563,35.96760608,2.40E-06,1.97E-06,908,2.73E-12,-1.511465098,1232.269593,26.31482552
-104.712639,32.24157425,50.63639808,38.18581646,2.77E-06,2.09E-06,1025,3.08E-12,-0.673347708,1514.481482,32.32007046
-104.7126301,32.24156329,40.63320122,23.91653251,2.23E-06,1.31E-06,496,1.49E-12,-2.099776237,761.1641665,34.83665919
-104.7126388,32.24156225,48.90798833,26.12263442,2.68E-06,1.43E-06,677,2.03E-12,-2.853198296,1000.681461,32.34610347
-104.7126289,32.24156082,41.09681187,26.18319146,2.25E-06,1.43E-06,552,1.66E-12,-2.035796351,842.8102234,34.50482864
-104.7126291,32.24154877,55.3365218,34.47853152,3.03E-06,1.89E-06,1040,3.12E-12,-2.678177273,1494.375365,30.40570501
-104.7126233,32.24154548,27.49411504,22.02584258,1.51E-06,1.21E-06,407,1.22E-12,-0.946768202,474.3199131,14.19293419
,,,,,,,,,,
-104.7124609,32.24174362,50.5279248,32.83621794,2.77E-06,1.80E-06,763,2.29E-12,-1.732192986,1299.522109,41.2861086
-104.7124629,32.24173321,37.66127945,23.36697292,2.06E-06,1.28E-06,406,1.22E-12,-2.769975795,689.2814748,41.09808332
-104.7124818,32.24169523,32.99733863,29.94822069,1.81E-06,1.64E-06,479,1.44E-12,-1.912376319,774.0143631,38.11484349
-104.7124892,32.24168362,36.26500747,26.12990551,1.99E-06,1.43E-06,593,1.78E-12,-1.882960248,742.2063947,20.10308666
-104.7125097,32.24167244,33.4229304,26.13408068,1.83E-06,1.43E-06,592,1.78E-12,-2.970380523,684.1492157,13.46916924
-104.7124951,32.24167085,49.06795221,24.73271413,2.69E-06,1.36E-06,786,2.36E-12,-0.775508128,950.5364879,17.30985501
-104.7124974,32.24168022,214.3362336,51.1886483,1.17E-05,2.80E-06,7054,2.12E-11,-2.374754332,8593.465501,17.91437343
-104.7124961,32.24167792,111.2185349,32.02148681,6.09E-06,1.75E-06,1767,5.31E-12,-2.314637752,2789.444623,36.65405702
-104.7124869,32.24167145,31.53700854,20.10493116,1.73E-06,1.10E-06,432,1.30E-12,-2.708763854,496.6176693,13.01155261
-104.7124816,32.24165688,108.7410828,56.72814731,5.96E-06,3.11E-06,3728,1.12E-11,-2.784967289,4831.604026,22.84135911
,,,,,,,,,,
-104.7124914,32.2416503,34.54350374,20.2562054,1.89E-06,1.11E-06,448,1.35E-12,-0.049546476,548.0542618,18.25626927
-104.7124897,32.24164871,46.95909427,21.31206166,2.57E-06,1.17E-06,482,1.45E-12,-2.282872652,783.8703853,38.51024237
-104.7124973,32.24164493,35.43536573,21.06871542,1.94E-06,1.15E-06,491,1.47E-12,-1.157489102,584.7551534,16.03323251
-104.7125277,32.24164323,50.4858098,31.1417746,2.77E-06,1.71E-06,961,2.89E-12,-2.237258603,1231.435772,21.96101315
-104.7124619,32.24164088,44.24275876,28.88531311,2.42E-06,1.58E-06,688,2.07E-12,-2.3322755,1000.963775,31.26624386
-104.7124971,32.24163376,29.10468279,22.00930671,1.59E-06,1.21E-06,399,1.20E-12,-2.282510609,501.727972,20.47483452
-104.7125048,32.24162362,90.8978605,59.8713405,4.98E-06,3.28E-06,3456,1.04E-11,-2.803707026,4262.571967,18.92219001
-104.7125022,32.24161874,107.2553596,59.62745167,5.88E-06,3.27E-06,4010,1.20E-11,-2.683341251,5009.15342,19.94655257
-104.7124969,32.2416148,74.66633999,42.59293486,4.09E-06,2.33E-06,1974,5.93E-12,-2.224426013,2490.92993,20.7524878
-104.7124997,32.24161233,39.65460845,35.80418133,2.17E-06,1.96E-06,808,2.43E-12,-2.365088186,1112.055584,27.34176137
-104.7125227,32.24161167,39.11348483,29.91798577,2.14E-06,1.64E-06,808,2.43E-12,-3.06951001,916.553761,11.84368726
-104.7125013,32.24161047,46.31453001,21.18420145,2.54E-06,1.16E-06,583,1.75E-12,-2.107538171,768.4726938,24.13523542
-104.7125152,32.24161091,34.61516491,27.63979473,1.90E-06,1.51E-06,638,1.92E-12,-2.803380228,749.3768968,14.86260082
-104.7125297,32.24160899,68.44057708,43.48901567,3.75E-06,2.38E-06,1939,5.82E-12,-0.45941861,2331.268642,16.82640237
-104.7125165,32.24160806,34.12661527,30.18802477,1.87E-06,1.65E-06,654,1.96E-12,-1.223208374,806.9135261,18.95042296
-104.7125177,32.24160422,95.36448239,54.17581644,5.23E-06,2.97E-06,3087,9.27E-12,-0.782946373,4046.608618,23.71389745
-104.7125161,32.2416011,193.8647382,116.7453232,1.06E-05,6.40E-06,11886,3.57E-11,-2.307414837,17727.08781,32.95006983
-104.7125028,32.24160302,39.94060835,30.07975427,2.19E-06,1.65E-06,718,2.16E-12,-2.44972983,940.9965708,23.69791535
-104.7125511,32.24160258,46.4504367,31.88562486,2.55E-06,1.75E-06,887,2.66E-12,-2.461437076,1160.068982,23.53902969
-104.7125318,32.24159995,48.05527697,22.60888399,2.63E-06,1.24E-06,576,1.73E-12,-2.633008048,850.9798787,32.31332322
-104.7125239,32.24159913,51.30492503,33.1007335,2.81E-06,1.81E-06,1067,3.20E-12,-1.822612921,1330.135108,19.78258495
-104.7125216,32.24159819,34.96030283,27.67459374,1.92E-06,1.52E-06,553,1.66E-12,-2.471426182,757.801606,27.02575508
-104.7125109,32.24159611,56.31098244,44.02055349,3.09E-06,2.41E-06,1710,5.13E-12,-0.211437917,1941.546,11.92585703
-104.7125355,32.24159359,301.4046819,126.0493718,1.65E-05,6.91E-06,17840,5.36E-11,-2.952842416,29757.0422,40.04780489
-104.7125203,32.24159458,221.109209,79.45212977,1.21E-05,4.35E-06,7905,2.37E-11,-0.073256745,13759.7789,42.54994898
-104.7125153,32.24159304,44.16925679,24.64442805,2.42E-06,1.35E-06,721,2.16E-12,-2.789516798,852.5854493,15.43369634
-104.7125486,32.24159019,56.33738379,37.5253306,3.09E-06,2.06E-06,1474,4.43E-12,-3.075252952,1655.847298,10.98212969
-104.7125234,32.24158855,29.41341287,20.82071943,1.61E-06,1.14E-06,285,8.56E-13,-0.353631896,479.6674319,40.5838335
-104.712548,32.2415817,138.6716018,78.22623781,7.60E-06,4.29E-06,7793,2.34E-11,-2.52685754,8496.48035,8.279667825
-104.7125451,32.24157885,206.9872272,74.02203164,1.13E-05,4.06E-06,9612,2.89E-11,-2.896696762,12000.61848,19.90412811
-104.712553,32.24157403,105.7941067,70.08436655,5.80E-06,3.84E-06,4932,1.48E-11,-2.216716853,5807.399588,15.07386524
-104.7125137,32.24161907,127.7660329,63.90491906,7.00E-06,3.50E-06,4885,1.47E-11,-3.094344892,6395.121217,23.61364493
-104.7125159,32.24161299,261.3214291,123.2260714,1.43E-05,6.75E-06,16776,5.04E-11,-0.150254265,25221.83665,33.48620787
-104.712527,32.24160581,337.8601093,177.3559286,1.85E-05,9.72E-06,29234,8.78E-11,-2.976407901,46933.36682,37.71169217
-104.7125273,32.24158833,107.2346324,54.13555353,5.88E-06,2.97E-06,3413,1.02E-11,-0.292277254,4546.913899,24.9380992
-104.7125487,32.24158608,101.7043777,38.88063101,5.57E-06,2.13E-06,2705,8.12E-12,-2.695560106,3097.219841,12.66360998
,,,,,,,,,,
-104.7123634,32.24175639,43.14315206,23.64533617,2.36E-06,1.30E-06,662,1.99E-12,-2.763720946,799.0177844,17.14827718
-104.7123763,32.24175425,53.73856214,32.31079505,2.94E-06,1.77E-06,694,2.08E-12,-1.34390283,1359.980771,48.96986672
-104.7123737,32.24175392,77.72924468,28.09555987,4.26E-06,1.54E-06,1359,4.08E-12,-2.415788914,1710.492679,20.54920686
-104.7123632,32.24175403,57.03462928,30.63029544,3.13E-06,1.68E-06,1105,3.32E-12,-0.142070244,1368.323829,19.24426246
-104.712378,32.24175058,60.61133309,28.9825602,3.32E-06,1.59E-06,1260,3.78E-12,-1.706938361,1375.90885,8.424166295
-104.7124348,32.24174833,110.082203,60.30209393,6.03E-06,3.30E-06,2680,8.05E-12,-1.806601637,5199.344409,48.45503992
-104.7123546,32.24174597,46.1168934,33.91956299,2.53E-06,1.86E-06,827,2.48E-12,-2.509388284,1225.20673,32.50118694
-104.7124293,32.24174313,78.76942561,69.18515479,4.32E-06,3.79E-06,3013,9.05E-12,-3.094691577,4268.444873,29.41223115
-104.7123626,32.24174039,36.50605589,23.55974488,2.00E-06,1.29E-06,423,1.27E-12,-2.096486472,673.6504108,37.20778712
-104.7124113,32.24173819,40.40438253,32.81301236,2.21E-06,1.80E-06,608,1.83E-12,-2.138018286,1038.421467,41.44959254
-104.7123558,32.24173387,35.11997964,20.95290644,1.92E-06,1.15E-06,431,1.29E-12,-2.178073162,576.3650135,25.22099887
-104.712413,32.24173359,52.0406112,27.30307014,2.85E-06,1.50E-06,597,1.79E-12,-3.089270592,1112.891831,46.35597251
-104.712424,32.2417314,45.95735164,30.05791506,2.52E-06,1.65E-06,805,2.42E-12,-2.431138341,1081.964292,25.59828399
-104.7123562,32.24173151,32.18396854,23.25361916,1.76E-06,1.27E-06,436,1.31E-12,-0.677804623,586.177618,25.61981443
-104.7124229,32.24173041,51.8663568,20.45083919,2.84E-06,1.12E-06,684,2.05E-12,-2.181101518,830.7989871,17.66961556
-104.7124108,32.24172992,45.70264132,35.63452265,2.50E-06,1.95E-06,861,2.59E-12,-0.933621377,1275.590649,32.50185705
-104.712408,32.2417274,58.87826885,33.63811461,3.23E-06,1.84E-06,1332,4.00E-12,-0.70181527,1551.264163,14.13454703
-104.7123755,32.24172734,79.21631325,36.45555945,4.34E-06,2.00E-06,1653,4.96E-12,-2.907846694,2261.92122,26.92053176
-104.7123818,32.24172756,51.58029179,27.65034774,2.83E-06,1.52E-06,936,2.81E-12,-2.823476757,1117.077935,16.20996432
-104.7124193,32.24172592,130.8976559,55.87835987,7.17E-06,3.06E-06,4898,1.47E-11,-2.533319031,5728.944317,14.50431827
-104.7123656,32.24172625,49.29397895,33.03288033,2.70E-06,1.81E-06,1077,3.23E-12,-0.257424024,1275.379408,15.5545406
-104.7124073,32.24172499,30.12962785,20.35597136,1.65E-06,1.12E-06,376,1.13E-12,-1.085131103,480.379737,21.72858864
-104.7124297,32.24171956,58.08146933,35.31839879,3.18E-06,1.94E-06,1367,4.10E-12,-2.621687767,1606.710685,14.91934342
-104.7123953,32.2417171,64.70666507,38.37966708,3.55E-06,2.10E-06,1504,4.52E-12,-0.789764208,1945.132999,22.67880906
-104.7124434,32.24170751,67.32593485,34.21826336,3.69E-06,1.87E-06,1265,3.80E-12,-2.89898178,1804.427504,29.89466205
-104.7124497,32.24170362,94.14187777,60.85756041,5.16E-06,3.33E-06,3942,1.18E-11,-3.109656224,4487.417494,12.15437375
-104.7124267,32.24170099,37.5083001,20.22998469,2.06E-06,1.11E-06,455,1.37E-12,-2.525031503,594.3222883,23.44221159
-104.7124246,32.24169639,113.1044846,85.88521789,6.20E-06,4.71E-06,4849,1.46E-11,-2.564668896,7608.469923,36.26839498
-104.7123634,32.24169551,90.44336141,57.16967584,4.96E-06,3.13E-06,3455,1.04E-11,-0.67889795,4049.873947,14.68870277
-104.712428,32.24169244,46.89667895,27.97223985,2.57E-06,1.53E-06,799,2.40E-12,-2.514606758,1027.468257,22.23604043
-104.7124417,32.24169063,87.24759363,38.35694696,4.78E-06,2.10E-06,2189,6.57E-12,-0.106570119,2621.178342,16.48794112
-104.7124453,32.24168521,168.533482,61.99791113,9.23E-06,3.40E-06,5766,1.73E-11,-2.605001511,8183.93803,29.54492105
-104.7124345,32.24168488,96.84566192,60.61665693,5.31E-06,3.32E-06,3878,1.16E-11,-1.991669937,4598.024002,15.65942243
-104.7124375,32.24168543,47.31330132,35.53225064,2.59E-06,1.95E-06,1198,3.60E-12,-2.734325747,1316.755226,9.01877762
-104.7123975,32.24168055,78.53078914,63.5004146,4.30E-06,3.48E-06,3153,9.47E-12,-2.475763093,3905.850388,19.27494177
-104.7124379,32.24168082,35.38468692,33.99523074,1.94E-06,1.86E-06,863,2.59E-12,-0.977936642,942.1768564,8.403608714
-104.7123931,32.24167644,161.8683512,99.08274875,8.87E-06,5.43E-06,10975,3.30E-11,-2.574083734,12562.00814,12.63339528
-104.7124001,32.24167732,130.8369253,70.35415978,7.17E-06,3.86E-06,5481,1.65E-11,-0.342320465,7209.733165,23.97776902
-104.7124024,32.24167463,90.99659869,35.42723389,4.99E-06,1.94E-06,1708,5.13E-12,-1.395472193,2525.000597,32.35645164
-104.7124072,32.24167365,117.2219498,69.92190863,6.42E-06,3.83E-06,5999,1.80E-11,-3.026972314,6419.797017,6.554677918
-104.7123891,32.24167184,35.53699129,30.57391684,1.95E-06,1.68E-06,753,2.26E-12,-0.120362376,851.0024631,11.51611979
-104.7123866,32.24166504,27.00827506,20.25737797,1.48E-06,1.11E-06,342,1.03E-12,-2.79572715,428.5279572,20.19190482
-104.7123664,32.24175902,36.22869389,20.04402624,1.99E-06,1.10E-06,426,1.28E-12,-2.590327314,568.7700522,25.10154176
-104.7123841,32.24175321,44.4662521,29.95982071,2.44E-06,1.64E-06,902,2.71E-12,-2.005637491,1043.44321,13.55542961
-104.7123605,32.2417531,57.71364967,28.70521911,3.16E-06,1.57E-06,821,2.47E-12,-0.058379074,1297.592977,36.72900405
-104.7123759,32.24175118,41.04039835,28.87695414,2.25E-06,1.58E-06,712,2.14E-12,-0.221094242,928.2437462,23.29600895
-104.7123716,32.24175036,36.45739043,21.11614913,2.00E-06,1.16E-06,473,1.42E-12,-0.542650672,602.975104,21.55563358
-104.7123733,32.24174093,315.6299171,174.3789833,1.73E-05,9.56E-06,36092,1.08E-10,-1.979451078,43109.34098,16.2780057
-104.7124107,32.24173671,37.47094969,32.01008414,2.05E-06,1.75E-06,764,2.29E-12,-0.391027598,939.4649832,18.67711797
-104.7123609,32.24173397,158.2197713,61.87386411,8.67E-06,3.39E-06,3567,1.07E-11,-0.272709388,7667.734606,53.48039306
-104.7124122,32.24173534,53.51598239,23.09148648,2.93E-06,1.27E-06,676,2.03E-12,-0.054461528,967.9088803,30.15871496
-104.7123933,32.24173288,64.08402021,25.62943639,3.51E-06,1.40E-06,1053,3.16E-12,-2.773822342,1286.435114,18.14589103
-104.7123512,32.24172345,43.90372666,26.45666998,2.41E-06,1.45E-06,732,2.20E-12,-0.309518196,909.7784537,19.54085118
-104.7123852,32.24171513,45.27586368,30.50103181,2.48E-06,1.67E-06,678,2.04E-12,-2.681007969,1081.634064,37.31706291
-104.7123886,32.24171069,48.40704876,26.58745293,2.65E-06,1.46E-06,795,2.39E-12,-2.03029892,1008.055448,21.13529056
-104.7123992,32.24170926,88.88902266,50.85527458,4.87E-06,2.79E-06,2122,6.37E-12,-2.351062206,3540.651776,40.0675318
-104.7123623,32.2417086,32.80531694,25.07122055,1.80E-06,1.37E-06,578,1.74E-12,-2.073194185,644.1971464,10.27591425
-104.7123547,32.24170778,48.20865428,31.06123642,2.64E-06,1.70E-06,789,2.37E-12,-1.759358149,1172.850964,32.7280256
-104.7123639,32.2417074,47.04578644,23.10814606,2.58E-06,1.27E-06,735,2.21E-12,-2.822078433,851.500521,13.68179092
-104.7123947,32.24170597,43.55908695,26.06515167,2.39E-06,1.43E-06,661,1.98E-12,-1.474325331,889.2791408,25.67013329
-104.7124376,32.24168745,35.34979023,31.47174991,1.94E-06,1.72E-06,684,2.05E-12,-1.904306901,871.3784472,21.50368164
-104.7124398,32.24168313,82.73143439,38.67367382,4.53E-06,2.12E-06,1191,3.58E-12,-2.724531499,2506.023074,52.47449985
-104.7124474,32.24167962,55.2733772,38.11368856,3.03E-06,2.09E-06,890,2.67E-12,-1.058508983,1650.046043,46.06211119
-104.7124403,32.24167792,54.88403687,34.03456291,3.01E-06,1.86E-06,969,2.91E-12,-2.925198932,1463.070677,33.76943334
-104.7123885,32.24167534,52.51489213,47.16365283,2.88E-06,2.58E-06,1635,4.91E-12,-2.959786697,1939.943104,15.71917772
-104.7123881,32.24167063,33.44480124,25.37071316,1.83E-06,1.39E-06,501,1.50E-12,-1.217080517,664.6000595,24.61631731
-104.7124146,32.24166877,98.72197808,35.46951814,5.41E-06,1.94E-06,1714,5.15E-12,-0.116232033,2742.636292,37.50538469
