PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
80.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
97.8334,0.022225

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71214583913962,32.24186131742281,203.30738804086303,68.12492271958227,1.1140173452966657e-05,3.7328867528097822e-06,5779,1.735123047322012e-11,-2.5876134233607195,10848.214523664634,46.728560839265214
-104.71215071587017,32.24185271464984,52.116122220468775,30.777921916411465,2.8556888503989826e-06,1.686467924135514e-06,1124,3.3747677888734063e-12,-0.4283908852970302,1256.349492637945,10.5344486875266
-104.71214457886094,32.24182482413109,42.492270877620484,39.236565056764135,2.3283525136429984e-06,2.149956991937299e-06,995,2.987450133388825e-12,-1.3765425541566216,1305.870174621782,23.805595737096848
-104.7121475377761,32.24181309805838,61.34640846231909,35.31262869145359,3.361459893673007e-06,1.9349459579104537e-06,1460,4.383595170600688e-12,-2.672901381658794,1696.7516146177618,13.953227601383267
-104.71215696246884,32.24180975557971,48.26958046415312,30.129334210572882,2.64491863308242e-06,1.6509287358545092e-06,949,2.8493368608904473e-12,-2.0795987185567855,1139.1007565973205,16.688669153831697
-104.71217498993343,32.24180449528541,192.28917088644192,53.44846416633238,1.053643321791906e-05,2.9286941677099328e-06,6983,2.0966195257742878e-11,-1.581376836811796,8049.875034639763,13.253311760106175
-104.71220090783845,32.241805372001124,74.25176689844342,63.514058740348815,4.068605525892902e-06,3.480235705586783e-06,2407,7.226927106599901e-12,-3.079172114483357,3693.8201005905385,34.83710807640069
-104.71218468859979,32.24180361856969,237.1818359036806,91.9607692033757,1.2996314680551638e-05,5.038965527351777e-06,15480,4.647811865814976e-11,-0.5012892876476149,17083.7458901125,9.387554113882562
-104.71217170224992,32.24180619392211,54.27466237220404,34.952658973027425,2.973965475401369e-06,1.9152215143487813e-06,1327,3.984267665333639e-12,-0.6474150091192934,1485.8550049106739,10.691151181351229
-104.71220715443712,32.24180613912738,57.41213999309791,29.750519855668248,3.1458827148011187e-06,1.6301717055233582e-06,891,2.6751940390446664e-12,-2.8885255897179603,1337.8190485902583,33.39906462395634
