PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
90.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
91.908325,0.00195

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.7119223862307,32.241970139561275,66.49942227658947,64.71023344859252,3.6438178947750987e-06,3.5457797758652734e-06,2994,8.989372562177027e-12,-1.6063105341940527,3370.4657649325436,11.169547213605304
-104.7119421671265,32.24195266004167,367.44405468574774,122.12661282341378,2.0133997799616903e-05,6.6918947864436705e-06,24169,7.256651484811509e-11,-2.1224914707362683,35148.0000406306,31.236485797026937
-104.71193170133398,32.241955399778284,185.98042533313722,142.79386756162208,1.0190747208120338e-05,7.824351431521477e-06,16853,5.060049959598178e-11,-2.235426070293917,20800.60057381934,18.978300938041116
-104.71191663278455,32.241956605262395,74.20349729539986,50.001523616418446,4.065960606022587e-06,2.7398199906417214e-06,2233,6.704498641062559e-12,-2.957354807053518,2906.0741673902958,23.160942516299503
-104.71191318071686,32.24195622169927,51.381478020056846,39.580020279740815,2.815434219725355e-06,2.168776528178247e-06,1422,4.269501597667246e-12,-0.04010413191317341,1592.8749649196411,10.727456246276153
-104.71194726303594,32.24194252301619,127.24390603892712,75.30500821781499,6.972295486978223e-06,4.12631759970732e-06,6388,1.917973010260082e-11,-0.9920636057197513,7505.159629888011,14.885221434053374
-104.71191970128916,32.241944495626555,35.61750484496957,29.50837688739307,1.951651564453186e-06,1.6169035469335704e-06,545,1.6363420328612158e-12,-0.5036237786363857,823.2048018911091,33.79533273518358
-104.71193778354848,32.241941153147884,101.9398349518735,47.942840105284645,5.585765741589344e-06,2.627014983308769e-06,2898,8.701136167397803e-12,-1.6013589952277083,3827.954484117505,24.293770680293143
-104.71194331781572,32.24193775587448,127.23766316785012,97.75616344238873,6.971953410542573e-06,5.35652259044263e-06,8703,2.6130430664203964e-11,-1.6378809726284236,9742.242023923503,10.667380479477847
-104.71200846874399,32.241937810669214,116.43873260401858,44.049182438244465,6.380228925038649e-06,2.41366306238112e-06,3550,1.065874168194003e-11,-2.272309831968485,4017.3012803348506,11.632218938179815
-104.71193504381222,32.241939509305915,70.93254247382106,37.9448877920335,3.886729519438161e-06,2.0791798848532186e-06,1895,5.689666334444044e-12,-0.8156846917331747,2108.132390176999,10.110009749392646
-104.71193707121705,32.241935235316795,86.85154644453871,72.19948361315275,4.759007045312507e-06,3.956151217207538e-06,4443,1.3339940645875928e-11,-0.1524620680748392,4911.4613234903145,9.538125063711261
-104.71198118097084,32.24192767364374,306.7191686196103,230.9550590027353,1.680659405788745e-05,1.2655120120934777e-05,51116,1.5347387037015395e-10,-0.464586969912439,55483.96376496075,7.872479665411368
-104.71196605762668,32.24193035858562,59.604027559535595,51.66749006808282,3.265986602391318e-06,2.8311061726993763e-06,1965,5.899838705637227e-12,-1.5640991519434468,2412.0819168070975,18.53510503486156
-104.71199948240906,32.24192487911239,590.7671724770454,219.87201560748437,3.237092776180953e-05,1.204782774951817e-05,82427,2.47483972004865e-10,-0.1064127643817252,101738.51483965419,18.981518326751928
-104.71197005764162,32.241930742148746,33.638760602714974,29.061725258791583,1.8432268077820479e-06,1.5924293915001706e-06,562,1.6873838944367031e-12,-0.08925463917457477,765.7031966664495,26.603414685127046
-104.71195416717131,32.241929755843564,108.23114864018447,33.33499231234469,5.930496577050773e-06,1.82658190630136e-06,2325,6.980725186059315e-12,-0.3145305175083024,2825.866937135803,17.724363824556562
-104.7119689069524,32.241927892822666,60.30726163945721,43.54270826286765,3.30452012399059e-06,2.3859109466438797e-06,1708,5.1282058571136814e-12,-1.7696857371768666,2056.7624176030113,16.956864566276224
-104.7119497835933,32.24192767364374,35.149629315301254,24.582681789688717,1.9260144510893762e-06,1.34700141355008e-06,571,1.7144060564472554e-12,-2.6228093555075365,676.7824528950957,15.630200287047405
-104.71194638632034,32.24192586541757,64.90031302543723,43.59668536893691,3.5561951349740674e-06,2.3888686076019747e-06,1946,5.842791919170506e-12,-2.9080814481100874,2216.150979207609,12.190098136012477
-104.71197033161525,32.24192471472819,136.66083762427425,56.3337048649178,7.4882937114716785e-06,3.0867901530331025e-06,4776,1.433976064026636e-11,-2.81204311071616,6029.918936748709,20.794955121317322
