PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
90.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
98.778575,0

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71165942631512,32.24227561959419,179.93725622770617,106.28799768087761,9.859613388101066e-06,5.824022144711766e-06,10192,3.060109724572754e-11,-2.1648542341328847,14979.744321882597,31.961455542926732
-104.71168161817883,32.24227145519453,85.12617884508045,72.18288862574082,4.66446599339446e-06,3.955241899351457e-06,3130,9.397707454780927e-12,-0.7370296742382735,4812.785190418062,34.96489296402374
-104.71165756329447,32.242268660663186,149.98191340672926,124.8064988294182,8.218218463477423e-06,6.838738416814186e-06,13235,3.97375904677398e-11,-0.7450720574570155,14661.390843702988,9.728891746417204
-104.71165049477491,32.242233482445045,67.74838515042966,36.21536840115339,3.712254478339385e-06,1.984411336644822e-06,1311,3.936228266203768e-12,-2.2095111707654764,1921.7236573745156,31.779993706737958
-104.71161487820353,32.242234687929155,34.9590485968936,25.115710333873324,1.915571632063904e-06,1.3762085687588486e-06,598,1.7954725424789119e-12,-2.652685103642117,687.7081192705717,13.044504893401873
-104.71167717980609,32.24223216737147,29.132832639002984,23.814295604325558,1.596325701206249e-06,1.3048978999183545e-06,490,1.4712065983522857e-12,-0.99632610788506,543.399876537031,9.826994602453127
-104.7116178371187,32.24223074270843,26.725793211564035,21.06795785349267,1.4644326254641618e-06,1.154413064125966e-06,367,1.1019037175414058e-12,-2.4427335365886105,441.0137456982313,16.78263918532735
-104.71160824804178,32.242221372809205,34.7131857945002,29.813207415152757,1.902099646167629e-06,1.6336066534253016e-06,631,1.8945538031842697e-12,-0.7072012441753017,810.5918924845007,22.15564874872403
-104.71162260425979,32.24221430428874,80.18908945805988,53.26743279956212,4.393939513003322e-06,2.9187746028299643e-06,2845,8.542005657780108e-12,-0.5741985473121711,3345.6162899362816,14.963350442851176
-104.71163509745713,32.24220767412613,163.64634652163284,91.7887520630453,8.966957387839048e-06,5.029539894576549e-06,7775,2.3344145514671472e-11,-2.835908548866053,11765.079348180972,33.91459785435181
-104.711665234556,32.24227112642614,38.855222148867355,28.63338079608213,2.129061410227425e-06,1.5689583722805345e-06,758,2.2758665337776175e-12,-2.5500429481421563,871.4071250442512,13.014252670758486
-104.71168479627289,32.24225704417994,58.069526831790206,43.02466977765826,3.181904049191867e-06,2.357525167670689e-06,1458,4.377590245709454e-12,-2.0865024886915733,1956.8832428032388,25.493766408290547
-104.71163876870372,32.24225408526439,78.97182375710865,33.79768102996823,4.327239767472096e-06,1.8519348096991499e-06,1832,5.5005112003701785e-12,-2.0437543448651994,2090.5384123495073,12.367073038325186
-104.71164967285404,32.24225150991197,88.48959369918082,58.93010195399984,4.848763402505002e-06,3.2290590307353635e-06,2684,8.058609204035786e-12,-1.8247078535835901,4084.4019494025342,34.286585080280474
-104.71158879591434,32.242230633118965,73.91469165086544,45.785350438871355,4.050135578681905e-06,2.5087959193660636e-06,2418,7.259954193501687e-12,-2.7741334759737457,2650.674459084709,8.777934170198042
